it|dt1|dt2|dt3|dt4|dt5|dt6|dt7|dt8|dt9|dt10|Or
------------------------------------------------------
-----------------SAMPLE-----------------------
1 | 49 | 51 | 59 | 39 | 50 | 50 | 58 | 52 | 41 | 51 | 0.4970919 
2 | 99 | 37 | 45 | 46 | 55 | 45 | 55 | 47 | 35 | 36 | 0.43562824 
3 | 147 | 27 | 43 | 42 | 59 | 46 | 53 | 35 | 32 | 16 | 0.37524363 
4 | 191 | 29 | 36 | 53 | 56 | 40 | 48 | 20 | 22 | 5 | 0.30501223 
5 | 233 | 31 | 36 | 57 | 51 | 35 | 30 | 15 | 12 | 0 | 0.2426309 
6 | 261 | 31 | 46 | 56 | 54 | 25 | 16 | 9 | 2 | 0 | 0.2001468 
7 | 277 | 37 | 52 | 67 | 42 | 15 | 4 | 6 | 0 | 0 | 0.17110094 
8 | 276 | 54 | 56 | 75 | 27 | 10 | 1 | 1 | 0 | 0 | 0.15350933 
9 | 264 | 70 | 70 | 70 | 22 | 4 | 0 | 0 | 0 | 0 | 0.15085131 
10 | 253 | 83 | 78 | 69 | 17 | 0 | 0 | 0 | 0 | 0 | 0.15145046 
11 | 237 | 101 | 88 | 63 | 11 | 0 | 0 | 0 | 0 | 0 | 0.15172435 
12 | 225 | 119 | 96 | 55 | 5 | 0 | 0 | 0 | 0 | 0 | 0.15242718 
13 | 197 | 149 | 110 | 42 | 2 | 0 | 0 | 0 | 0 | 0 | 0.15371388 
14 | 176 | 183 | 105 | 36 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15359746 
15 | 145 | 217 | 117 | 21 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15380928 
16 | 124 | 251 | 111 | 14 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15375689 
17 | 99 | 279 | 113 | 9 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1533059 
18 | 78 | 306 | 114 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15324439 
19 | 56 | 335 | 108 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15347049 
20 | 40 | 360 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1534517 
21 | 25 | 384 | 91 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1535066 
22 | 15 | 408 | 77 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15340951 
23 | 8 | 427 | 65 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1534614 
24 | 4 | 443 | 53 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1535113 
25 | 2 | 456 | 42 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15367366 
26 | 0 | 470 | 30 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15381183 
27 | 0 | 478 | 22 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15381569 
28 | 0 | 487 | 13 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15388119 
29 | 0 | 491 | 9 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15388224 
30 | 0 | 497 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15392552 
31 | 0 | 499 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15397581 
32 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15406199 
33 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15404524 
34 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15417114 
35 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15413642 
36 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15420811 
37 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15426409 
38 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15432207 
39 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15433384 
40 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15437917 
41 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543832 
42 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15438944 
43 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434879 
44 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435801 
45 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15432633 
46 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15432954 
47 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543147 
48 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.154309 
49 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543062 
50 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15429969 
51 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15430006 
52 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15430605 
53 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15430808 
54 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15431406 
55 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15432449 
56 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15432201 
57 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15433721 
58 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434207 
59 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543441 
60 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434465 
61 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434632 
62 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434375 
63 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434377 
64 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434702 
65 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434769 
66 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435077 
67 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434861 
68 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435106 
69 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543494 
70 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434964 
71 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434907 
72 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434845 
73 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15434995 
74 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435125 
75 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543518 
76 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435295 
77 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543535 
78 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435275 
79 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435328 
80 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435424 
81 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543534 
82 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435521 
83 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435494 
84 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435591 
85 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435621 
86 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435646 
87 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435655 
88 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543563 
89 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435621 
90 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.154356 
91 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.15435587 
92 | 0 | 500 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.1543557 
